[2025-07-10 17:54:14] INFO: Export tool started
[2025-07-10 17:54:14] INFO: Starting complete course data export
[2025-07-10 17:54:14] INFO: Resumed from checkpoint: 80 courses
[2025-07-10 17:54:14] INFO: Found 4332 courses
[2025-07-10 17:54:22] INFO: Checkpoint saved at 90 courses
[2025-07-10 17:54:30] INFO: Checkpoint saved at 100 courses
[2025-07-10 17:54:38] INFO: Checkpoint saved at 110 courses
[2025-07-10 17:54:47] INFO: Checkpoint saved at 120 courses
[2025-07-10 17:54:55] INFO: Checkpoint saved at 130 courses
[2025-07-10 17:55:04] INFO: Checkpoint saved at 140 courses
[2025-07-10 17:55:12] INFO: Checkpoint saved at 150 courses
[2025-07-10 17:55:21] INFO: Checkpoint saved at 160 courses
[2025-07-10 17:55:29] INFO: Checkpoint saved at 170 courses
[2025-07-10 17:55:38] INFO: Checkpoint saved at 180 courses
[2025-07-10 17:55:46] INFO: Checkpoint saved at 190 courses
[2025-07-10 17:55:55] INFO: Checkpoint saved at 200 courses
[2025-07-10 17:56:03] INFO: Checkpoint saved at 210 courses
[2025-07-10 17:56:12] INFO: Checkpoint saved at 220 courses
[2025-07-10 17:56:20] INFO: Checkpoint saved at 230 courses
[2025-07-10 17:56:29] INFO: Checkpoint saved at 240 courses
[2025-07-10 17:56:37] INFO: Checkpoint saved at 250 courses
[2025-07-10 17:56:46] INFO: Checkpoint saved at 260 courses
[2025-07-10 17:56:54] INFO: Checkpoint saved at 270 courses
[2025-07-10 17:57:03] INFO: Checkpoint saved at 280 courses
[2025-07-10 17:57:11] INFO: Checkpoint saved at 290 courses
[2025-07-10 17:57:19] INFO: Checkpoint saved at 300 courses
[2025-07-10 17:57:28] INFO: Checkpoint saved at 310 courses
[2025-07-10 17:57:36] INFO: Checkpoint saved at 320 courses
[2025-07-10 17:57:45] INFO: Checkpoint saved at 330 courses
[2025-07-10 17:57:53] INFO: Checkpoint saved at 340 courses
[2025-07-10 17:58:02] INFO: Checkpoint saved at 350 courses
[2025-07-10 17:58:10] INFO: Checkpoint saved at 360 courses
[2025-07-10 17:58:19] INFO: Checkpoint saved at 370 courses
[2025-07-10 17:58:27] INFO: Checkpoint saved at 380 courses
[2025-07-10 17:58:36] INFO: Checkpoint saved at 390 courses
[2025-07-10 17:58:44] INFO: Checkpoint saved at 400 courses
[2025-07-10 17:58:53] INFO: Checkpoint saved at 410 courses
[2025-07-10 17:59:01] INFO: Checkpoint saved at 420 courses
[2025-07-10 17:59:10] INFO: Checkpoint saved at 430 courses
[2025-07-10 17:59:18] INFO: Checkpoint saved at 440 courses
[2025-07-10 17:59:27] INFO: Checkpoint saved at 450 courses
[2025-07-10 17:59:35] INFO: Checkpoint saved at 460 courses
[2025-07-10 17:59:43] INFO: Checkpoint saved at 470 courses
[2025-07-10 17:59:52] INFO: Checkpoint saved at 480 courses
[2025-07-10 18:00:00] INFO: Checkpoint saved at 490 courses
[2025-07-10 18:00:09] INFO: Checkpoint saved at 500 courses
[2025-07-10 18:00:17] INFO: Checkpoint saved at 510 courses
[2025-07-10 18:00:25] INFO: Checkpoint saved at 520 courses
[2025-07-10 18:00:34] INFO: Checkpoint saved at 530 courses
[2025-07-10 18:00:42] INFO: Checkpoint saved at 540 courses
[2025-07-10 18:00:51] INFO: Checkpoint saved at 550 courses
[2025-07-10 18:00:59] INFO: Checkpoint saved at 560 courses
[2025-07-10 18:01:08] INFO: Checkpoint saved at 570 courses
[2025-07-10 18:01:16] INFO: Checkpoint saved at 580 courses
[2025-07-10 18:01:25] INFO: Checkpoint saved at 590 courses
[2025-07-10 18:01:33] INFO: Checkpoint saved at 600 courses
[2025-07-10 18:01:41] INFO: Checkpoint saved at 610 courses
[2025-07-10 18:01:50] INFO: Checkpoint saved at 620 courses
[2025-07-10 18:01:58] INFO: Checkpoint saved at 630 courses
[2025-07-10 18:02:07] INFO: Checkpoint saved at 640 courses
[2025-07-10 18:02:15] INFO: Checkpoint saved at 650 courses
[2025-07-10 18:02:23] INFO: Checkpoint saved at 660 courses
[2025-07-10 18:02:32] INFO: Checkpoint saved at 670 courses
[2025-07-10 18:02:40] INFO: Checkpoint saved at 680 courses
[2025-07-10 18:02:49] INFO: Checkpoint saved at 690 courses
[2025-07-10 18:02:57] INFO: Checkpoint saved at 700 courses
[2025-07-10 18:03:05] INFO: Checkpoint saved at 710 courses
[2025-07-10 18:03:14] INFO: Checkpoint saved at 720 courses
[2025-07-10 18:03:22] INFO: Checkpoint saved at 730 courses
[2025-07-10 18:03:31] INFO: Checkpoint saved at 740 courses
[2025-07-10 18:03:39] INFO: Checkpoint saved at 750 courses
[2025-07-10 18:03:47] INFO: Checkpoint saved at 760 courses
[2025-07-10 18:03:56] INFO: Checkpoint saved at 770 courses
[2025-07-10 18:04:05] INFO: Checkpoint saved at 780 courses
[2025-07-10 18:04:13] INFO: Checkpoint saved at 790 courses
[2025-07-10 18:04:21] INFO: Checkpoint saved at 800 courses
[2025-07-10 18:04:30] INFO: Checkpoint saved at 810 courses
[2025-07-10 18:04:38] INFO: Checkpoint saved at 820 courses
[2025-07-10 18:04:46] INFO: Checkpoint saved at 830 courses
[2025-07-10 18:04:55] INFO: Checkpoint saved at 840 courses
[2025-07-10 18:05:03] INFO: Checkpoint saved at 850 courses
[2025-07-10 18:05:11] INFO: Checkpoint saved at 860 courses
[2025-07-10 18:05:20] INFO: Checkpoint saved at 870 courses
[2025-07-10 18:05:28] INFO: Checkpoint saved at 880 courses
[2025-07-10 18:05:36] INFO: Checkpoint saved at 890 courses
[2025-07-10 18:05:45] INFO: Checkpoint saved at 900 courses
[2025-07-10 18:05:53] INFO: Checkpoint saved at 910 courses
[2025-07-10 18:06:02] INFO: Checkpoint saved at 920 courses
[2025-07-10 18:06:10] INFO: Checkpoint saved at 930 courses
[2025-07-10 18:06:19] INFO: Checkpoint saved at 940 courses
[2025-07-10 18:06:27] INFO: Checkpoint saved at 950 courses
[2025-07-10 18:06:35] INFO: Checkpoint saved at 960 courses
[2025-07-10 18:06:44] INFO: Checkpoint saved at 970 courses
[2025-07-10 18:06:52] INFO: Checkpoint saved at 980 courses
[2025-07-10 18:07:01] INFO: Checkpoint saved at 990 courses
[2025-07-10 18:07:10] INFO: Checkpoint saved at 1000 courses
[2025-07-10 18:07:18] INFO: Checkpoint saved at 1010 courses
[2025-07-10 18:07:26] INFO: Checkpoint saved at 1020 courses
[2025-07-10 18:07:36] INFO: Checkpoint saved at 1030 courses
[2025-07-10 18:07:44] INFO: Checkpoint saved at 1040 courses
[2025-07-10 18:07:53] INFO: Checkpoint saved at 1050 courses
[2025-07-10 18:08:01] INFO: Checkpoint saved at 1060 courses
[2025-07-10 18:08:09] INFO: Checkpoint saved at 1070 courses
[2025-07-10 18:08:18] INFO: Checkpoint saved at 1080 courses
[2025-07-10 18:08:26] INFO: Checkpoint saved at 1090 courses
[2025-07-10 18:08:35] INFO: Checkpoint saved at 1100 courses
[2025-07-10 18:08:43] INFO: Checkpoint saved at 1110 courses
[2025-07-10 18:08:52] INFO: Checkpoint saved at 1120 courses
[2025-07-10 18:09:00] INFO: Checkpoint saved at 1130 courses
[2025-07-10 18:09:09] INFO: Checkpoint saved at 1140 courses
[2025-07-10 18:09:17] INFO: Checkpoint saved at 1150 courses
[2025-07-10 18:09:25] INFO: Checkpoint saved at 1160 courses
[2025-07-10 18:09:34] INFO: Checkpoint saved at 1170 courses
[2025-07-10 18:09:43] INFO: Checkpoint saved at 1180 courses
[2025-07-10 18:09:51] INFO: Checkpoint saved at 1190 courses
[2025-07-10 18:10:00] INFO: Checkpoint saved at 1200 courses
[2025-07-10 18:10:08] INFO: Checkpoint saved at 1210 courses
[2025-07-10 18:10:16] INFO: Checkpoint saved at 1220 courses
[2025-07-10 18:10:25] INFO: Checkpoint saved at 1230 courses
[2025-07-10 18:10:33] INFO: Checkpoint saved at 1240 courses
[2025-07-10 18:10:42] INFO: Checkpoint saved at 1250 courses
[2025-07-10 18:10:50] INFO: Checkpoint saved at 1260 courses
[2025-07-10 18:10:59] INFO: Checkpoint saved at 1270 courses
[2025-07-10 18:11:07] INFO: Checkpoint saved at 1280 courses
[2025-07-10 18:11:16] INFO: Checkpoint saved at 1290 courses
[2025-07-10 18:11:24] INFO: Checkpoint saved at 1300 courses
[2025-07-10 18:11:32] INFO: Checkpoint saved at 1310 courses
[2025-07-10 18:11:41] INFO: Checkpoint saved at 1320 courses
[2025-07-10 18:11:49] INFO: Checkpoint saved at 1330 courses
[2025-07-10 18:11:58] INFO: Checkpoint saved at 1340 courses
[2025-07-10 18:12:06] INFO: Checkpoint saved at 1350 courses
[2025-07-10 18:12:15] INFO: Checkpoint saved at 1360 courses
[2025-07-10 18:12:23] INFO: Checkpoint saved at 1370 courses
[2025-07-10 18:12:32] INFO: Checkpoint saved at 1380 courses
[2025-07-10 18:12:40] INFO: Checkpoint saved at 1390 courses
[2025-07-10 18:12:49] INFO: Checkpoint saved at 1400 courses
[2025-07-10 18:12:57] INFO: Checkpoint saved at 1410 courses
[2025-07-10 18:13:06] INFO: Checkpoint saved at 1420 courses
[2025-07-10 18:13:14] INFO: Checkpoint saved at 1430 courses
[2025-07-10 18:13:23] INFO: Checkpoint saved at 1440 courses
[2025-07-10 18:13:31] INFO: Checkpoint saved at 1450 courses
[2025-07-10 18:13:40] INFO: Checkpoint saved at 1460 courses
[2025-07-10 18:13:48] INFO: Checkpoint saved at 1470 courses
[2025-07-10 18:13:56] INFO: Checkpoint saved at 1480 courses
[2025-07-10 18:14:05] INFO: Checkpoint saved at 1490 courses
[2025-07-10 18:14:13] INFO: Checkpoint saved at 1500 courses
[2025-07-10 18:14:22] INFO: Checkpoint saved at 1510 courses
[2025-07-10 18:14:30] INFO: Checkpoint saved at 1520 courses
[2025-07-10 18:14:39] INFO: Checkpoint saved at 1530 courses
[2025-07-10 18:14:47] INFO: Checkpoint saved at 1540 courses
[2025-07-10 18:14:56] INFO: Checkpoint saved at 1550 courses
[2025-07-10 18:15:04] INFO: Checkpoint saved at 1560 courses
[2025-07-10 18:15:13] INFO: Checkpoint saved at 1570 courses
[2025-07-10 18:15:21] INFO: Checkpoint saved at 1580 courses
[2025-07-10 18:15:29] INFO: Checkpoint saved at 1590 courses
[2025-07-10 18:15:38] INFO: Checkpoint saved at 1600 courses
[2025-07-10 18:15:46] INFO: Checkpoint saved at 1610 courses
[2025-07-10 18:15:55] INFO: Checkpoint saved at 1620 courses
[2025-07-10 18:16:03] INFO: Checkpoint saved at 1630 courses
[2025-07-10 18:16:11] INFO: Checkpoint saved at 1640 courses
[2025-07-10 18:16:20] INFO: Checkpoint saved at 1650 courses
[2025-07-10 18:16:28] INFO: Checkpoint saved at 1660 courses
[2025-07-10 18:16:37] INFO: Checkpoint saved at 1670 courses
[2025-07-10 18:16:45] INFO: Checkpoint saved at 1680 courses
[2025-07-10 18:16:54] INFO: Checkpoint saved at 1690 courses
[2025-07-10 18:17:02] INFO: Checkpoint saved at 1700 courses
[2025-07-10 18:17:11] INFO: Checkpoint saved at 1710 courses
[2025-07-10 18:17:19] INFO: Checkpoint saved at 1720 courses
[2025-07-10 18:17:28] INFO: Checkpoint saved at 1730 courses
[2025-07-10 18:17:36] INFO: Checkpoint saved at 1740 courses
[2025-07-10 18:17:45] INFO: Checkpoint saved at 1750 courses
[2025-07-10 18:17:53] INFO: Checkpoint saved at 1760 courses
[2025-07-10 18:18:02] INFO: Checkpoint saved at 1770 courses
[2025-07-10 18:18:10] INFO: Checkpoint saved at 1780 courses
[2025-07-10 18:18:19] INFO: Checkpoint saved at 1790 courses
